gender,age,ethnicity,pregnant
0.5,28,0.55,0
0.5,36,0.8,1
0.24,43,0.26,1
0.5,54,0.58,1
0.29,29,0.51,0
0.54,58,0.5,1
0.47,51,0.51,0
0.4,59,0.46,1
0.44,60,0.47,1
0.37,46,0.76,1
0.54,43,0.58,1
0.27,54,0.47,1
0.66,63,0.44,0
0.5,64,0.4,0
0.48,45,0.46,1
0.69,69,0.56,0
0.48,69,0.48,1
0.61,47,0.73,1
0.36,48,0.57,1
0.43,35,0.35,0
0.61,60,0.64,1
0.33,43,0.59,1
0.37,47,0.51,1
0.47,41,0.51,1
0.44,36,0.57,1
0.21,60,0.21,1
0.59,63,0.84,1
0.45,53,0.6,1
0.6,60,0.48,0
0.54,42,0.35,0
0.52,20,0.47,1
0.34,39,0.58,1
0.41,28,0.37,1
0.1,62,0.64,1
0.43,33,0.5,0
0.57,68,0.44,0
0.49,48,0.64,0
0.4,40,0.32,1
0.45,71,0.36,0
0.29,61,0.43,1
0.56,59,0.86,1
0.32,50,0.48,1
0.72,63,0.43,1
0.39,37,0.33,0
0.44,35,0.36,1
0.37,68,0.46,1
0.59,76,0.43,0
0.66,58,0.6,0
0.43,72,0.37,1
0.44,37,0.53,1
0.56,48,0.62,1
0.68,46,0.52,0
0.52,46,0.58,1
0.29,62,0.62,0
0.27,42,0.5,0
0.66,69,0.52,0
0.3,75,0.36,1
0.43,52,0.71,0
0.52,66,0.47,0
0.47,8,0.49,0
0.7,48,0.54,1
0.38,68,0.46,1
0.54,57,0.51,1
0.51,55,0.35,0
0.16,59,0.47,0
0.48,42,0.55,1
0.54,31,0.33,1
0.48,90,0.38,0
0.39,42,0.51,0
0.59,44,0.32,1
0.22,61,0.53,1
0.4,60,0.52,0
0.58,75,0.53,0
0.35,46,0.55,0
0.53,73,0.79,0
0.4,54,0.48,1
0.41,59,0.26,1
0.57,24,0.48,1
0.38,67,0.49,0
0.6,50,0.65,1
0.46,81,0.36,1
0.38,58,0.58,1
0.1,42,0.4,1
0.57,49,0.58,1
0.41,68,0.19,0
0.23,28,0.53,1
0.53,61,0.44,0
0.52,64,0.47,1
0.49,61,0.47,0
0.33,39,0.46,1
0.49,66,0.63,1
0.33,15,0.6,1
0.59,56,0.62,1
0.49,47,0.39,1
0.47,53,0.51,1
0.61,69,0.48,1
0.46,63,0.64,1
0.33,56,0.3,1
0.4,65,0.65,1
0.28,46,0.64,1
0.6,67,0.7,0
0.58,56,0.47,0
0.76,25,0.34,1
0.35,27,0.63,1
0.62,66,0.49,0
0.15,70,0.52,1
0.61,46,0.63,0
0.47,62,0.65,0
0.51,30,0.4,1
0.21,45,0.47,1
0.77,35,0.58,0
0.26,50,0.48,0
0.39,57,0.48,1
0.58,47,0.56,0
0.54,54,0.58,0
0.45,37,0.54,1
0.62,37,0.51,0
0.42,48,0.61,1
0.3,48,0.3,1
0.69,60,0.55,1
0.34,40,0.26,1
0.35,49,0.59,1
0.42,63,0.48,1
0.31,49,0.66,0
0.51,81,0.58,1
0.29,43,0.33,1
0.51,66,0.47,1
0.49,44,0.49,0
0.36,59,0.71,1
0.23,41,0.62,0
0.5,30,0.48,1
0.43,72,0.47,0
0.48,30,0.39,0
0.58,61,0.41,0
0.67,86,0.39,0
0.62,23,0.56,1
0.43,53,0.31,0
0.61,60,0.27,1
0.41,52,0.69,1
0.43,24,0.7,1
0.1,53,0.31,1
0.83,48,0.75,1
0.36,69,0.32,1
0.49,27,0.86,1
0.69,44,0.42,1
0.2,27,0.44,0
0.37,33,0.62,1
0.38,54,0.51,1
0.64,47,0.43,0
0.66,62,0.44,0
0.33,56,0.33,1
0.32,46,0.63,1
0.33,56,0.54,1
0.21,57,0.53,0
0.5,49,0.45,1
0.45,51,0.6,1
0.63,82,0.64,1
0.51,65,0.54,0
0.23,55,0.5,0
0.25,67,0.66,0
0.57,60,0.54,1
0.53,39,0.45,0
0.57,68,0.32,1
0.59,77,0.61,1
0.36,68,0.88,1
0.24,42,0.48,0
0.37,69,0.4,1
0.42,60,0.62,1
0.51,56,0.51,0
0.5,71,0.23,0
0.5,55,0.64,1
0.53,61,0.66,1
0.4,39,0.48,0
0.51,48,0.38,1
0.36,45,0.54,1
0.61,61,0.53,1
0.58,37,0.59,1
0.43,84,0.43,0
0.73,39,0.57,0
0.52,48,0.68,1
0.52,69,0.66,0
0.4,44,0.54,1
0.51,47,0.35,1
0.74,59,0.3,1
0.47,57,0.61,1
0.29,67,0.7,1
0.48,50,0.81,1
0.56,49,0.66,1
0.48,68,0.33,1
0.39,67,0.51,1
0.4,64,0.34,1
0.54,46,0.55,1
0.37,67,0.51,0
0.58,67,0.46,0
0.22,30,0.41,1
0.51,38,0.33,1
0.47,45,0.48,0
0.33,47,0.55,0
0.31,45,0.63,1
0.43,33,0.72,1
0.34,65,0.65,0
0.63,52,0.57,0
0.57,32,0.45,1
0.6,67,0.47,0
0.68,67,0.71,1
0.5,58,0.59,1
0.47,49,0.42,1
0.53,36,0.42,1
0.22,46,0.33,1
0.54,80,0.37,0
0.23,53,0.51,1
0.58,46,0.6,1
0.66,69,0.26,0
0.45,35,0.35,0
0.53,50,0.57,1
0.49,54,0.42,0
0.29,35,0.52,0
0.3,63,0.59,1
0.51,39,0.49,0
0.42,60,0.49,1
0.32,44,0.58,1
0.39,51,0.37,1
0.36,34,0.4,1
0.39,45,0.62,1
0.37,72,0.78,1
0.25,45,0.65,1
0.68,43,0.48,0
0.49,58,0.3,0
0.29,60,0.46,0
0.39,12,0.41,1
0.44,43,0.51,0
0.53,74,0.43,0
0.43,53,0.54,1
0.57,63,0.58,0
0.3,59,0.37,0
0.68,50,0.42,1
0.52,46,0.58,1
0.38,65,0.66,1
0.55,45,0.58,1
0.43,49,0.36,1
0.49,35,0.58,0
0.11,29,0.55,1
0.24,37,0.42,1
0.5,48,0.76,1
0.52,78,0.54,1
0.68,43,0.5,1
0.5,75,0.54,0
0.53,48,0.44,0
0.32,63,0.47,0
0.44,73,0.3,1
0.57,69,0.58,1
0.53,79,0.46,0
0.38,30,0.37,1
0.57,57,0.68,1
0.7,58,0.43,1
0.4,37,0.64,1
0.41,52,0.37,1
0.36,66,0.57,1
0.52,67,0.49,1
0.39,58,0.67,1
0.43,70,0.4,1
0.47,58,0.65,1
0.24,24,0.58,1
0.35,35,0.74,1
0.39,73,0.3,1
0.63,46,0.67,0
0.43,67,0.48,0
0.55,70,0.57,1
0.35,41,0.43,0
0.39,68,0.43,0
0.36,47,0.48,1
0.3,39,0.35,1
0.51,36,0.51,1
0.27,59,0.49,1
0.39,53,0.4,1
0.69,72,0.5,0
0.35,47,0.55,1
0.47,38,0.61,1
0.39,70,0.84,1
0.24,50,0.57,1
0.43,68,0.56,0
0.77,52,0.59,1
0.44,45,0.53,0
0.4,29,0.54,1
0.49,70,0.37,0
0.44,51,0.49,1
0.45,35,0.62,1
0.29,54,0.64,1
0.56,49,0.57,1
0.42,83,0.32,1
0.3,36,0.53,1
0.42,56,0.38,1
0.36,46,0.48,1
0.41,50,0.5,1
0.36,50,0.49,0
0.2,36,0.61,0
0.58,58,0.37,0
0.27,48,0.67,1
0.31,34,0.48,1
0.3,48,0.4,0
0.55,72,0.48,1
0.48,62,0.39,1
0.47,45,0.42,1
0.56,50,0.4,1
0.53,69,0.35,0
0.55,59,0.59,1
0.6,24,0.52,1
0.47,88,0.36,1
0.22,63,0.66,1
0.45,61,0.4,1
0.41,49,0.52,1
0.54,28,0.47,1
0.46,52,0.51,1
0.39,59,0.42,1
0.53,69,0.43,1
0.34,31,0.39,1
0.44,48,0.44,1
0.59,60,0.44,1
0.37,59,0.39,1
0.46,62,0.8,1
0.53,62,0.53,1
0.47,58,0.47,1
0.33,55,0.52,1
0.39,47,0.42,1
0.58,64,0.52,0
0.64,0,0.47,0
0.44,69,0.59,1
0.21,42,0.41,1
0.46,67,0.28,1
0.55,53,0.58,0
0.65,16,0.41,1
0.2,61,0.54,0
0.21,68,0.56,1
0.4,37,0.63,1
0.88,55,0.55,1
0.5,62,0.57,0
0.46,44,0.54,1
0.44,59,0.43,1
0.51,51,0.77,1
0.54,52,0.49,1
0.66,59,0.55,0
0.45,68,0.63,1
0.38,69,0.5,1
0.62,52,0.53,0
0.37,36,0.49,1
0.41,61,0.68,1
0.54,52,0.64,0
0.34,43,0.33,1
0.56,61,0.41,0
0.38,74,0.56,1
0.4,51,0.59,1
0.56,81,0.71,1
0.47,41,0.56,1
0.34,49,0.59,0
0.4,61,0.79,0
0.49,38,0.39,0
0.15,30,0.67,0
0.4,45,0.46,1
0.35,57,0.45,1
0.3,44,0.39,1
0.38,45,0.42,1
0.64,44,0.59,0
0.37,74,0.53,1
0.13,55,0.6,1
0.58,40,0.39,0
0.44,43,0.58,1
0.47,61,0.42,1
0.16,39,0.65,1
0.34,62,0.46,1
0.23,34,0.31,1
0.66,64,0.5,0
0.48,58,0.76,1
0.45,56,0.43,1
0.72,58,0.7,1
0.51,62,0.4,0
0.46,41,0.71,1
0.41,63,0.6,0
0.29,53,0.36,0
0.15,28,0.43,1
0.48,45,0.39,1
0.69,62,0.43,0
0.55,59,0.49,0
0.69,43,0.8,1
0.36,36,0.5,1
0.43,58,0.44,1
0.51,41,0.51,1
0.37,48,0.57,0
0.29,48,0.64,0
0.52,63,0.51,1
0.38,39,0.35,1
0.72,35,0.41,0
0.46,70,0.42,1
0.56,59,0.44,0
0.27,50,0.41,1
0.34,44,0.77,1
0.46,35,0.55,1
0.44,71,0.65,1
0.47,45,0.56,0
0.41,41,0.48,1
0.47,61,0.39,0
0.38,62,0.6,1
0.48,57,0.35,0
0.24,41,0.5,0
0.16,33,0.53,1
0.57,49,0.42,0
0.56,40,0.36,0
0.48,62,0.56,0
0.51,66,0.57,1
0.45,38,0.53,1
0.35,15,0.53,1
0.59,70,0.34,1
0.18,53,0.64,1
0.16,41,0.63,1
0.28,19,0.39,1
0.54,42,0.6,1
0.3,39,0.36,1
0.59,40,0.69,0
0.67,63,0.57,1
0.56,76,0.45,1
0.55,37,0.26,1
0.44,49,0.36,1
0.27,35,0.42,0
0.4,47,0.62,0
0.15,53,0.57,1
0.35,41,0.43,1
0.4,47,0.37,0
0.47,63,0.55,1
0.17,45,0.61,0
0.51,31,0.44,1
0.32,63,0.53,1
0.14,33,0.47,1
0.45,48,0.59,1
0.56,45,0.68,1
0.58,57,0.38,1
0.78,49,0.58,1
0.11,57,0.7,1
0.59,60,0.48,0
0.59,58,0.58,1
0.38,49,0.61,1
0.47,47,0.44,0
0.26,67,0.8,0
0.61,60,0.71,1
0.42,60,0.74,1
0.66,38,0.48,0
0.42,45,0.72,0
0.41,45,0.62,1
0.44,56,0.44,1
0.47,65,0.67,1
0.4,66,0.63,1
0.28,48,0.6,0
0.53,67,0.6,1
0.21,32,0.44,1
0.64,71,0.48,1
0.44,55,0.62,1
0.34,36,0.48,1
0.45,53,0.64,0
0.49,48,0.51,1
0.4,57,0.41,1
0.55,50,0.54,0
0.55,35,0.73,1
0.33,44,0.5,0
0.46,67,0.39,1
0.27,53,0.51,1
0.43,58,0.32,1
0.61,25,0.6,0
0.39,61,0.52,0
0.5,28,0.38,1
0.5,28,0.55,1
0.47,50,0.45,1
0.6,63,0.47,1
0.11,64,0.56,1
0.51,24,0.61,1
0.37,21,0.51,1
0.42,36,0.55,1
0.67,79,0.72,0
0.46,37,0.37,1
0.18,80,0.12,1
0.59,63,0.46,0
0.63,65,0.32,0
0.24,54,0.62,0
0.41,74,0.54,1
0.45,46,0.61,1
0.28,45,0.39,1
0.6,21,0.43,1
0.37,43,0.6,1
0.48,47,0.58,0
0.47,54,0.33,0
0.31,30,0.4,1
0.28,56,0.22,1
0.34,38,0.41,1
0.59,53,0.94,1
0.39,36,0.57,1
0.18,37,0.57,1
0.68,57,0.63,0
0.5,55,0.59,1
0.5,37,0.53,0
0.46,42,0.54,1
0.42,66,0.2,0
0.41,49,0.52,1
0.37,42,0.47,1
0.41,59,0.56,1
0.45,47,0.45,1
0.57,60,0.51,1
0.41,58,0.51,1
0.37,31,0.38,1
0.67,62,0.41,0
